"","Type","LogSumCounts","Floss"
"cluster2","Small",2.05307844348342,0.63554354
"cluster4","Small",3.31618009889345,0.60867794
"cluster5","Small",2.76417613239033,0.61171959
"cluster6","Small",2.08278537031645,0.68330239
"cluster7","Small",2.57403126772772,0.61477769
"cluster8","Small",1.97772360528885,0.62466224
"cluster10","Small",2.75358305889291,0.59180164
"cluster11","Small",2.11727129565576,0.67097529
"cluster12","Small",1.51851393987789,0.63456659
"cluster13","Small",1.83250891270624,0.64127289
"cluster14","Small",1.51851393987789,0.60751089
"cluster16","Small",2.26481782300954,0.63768349
"cluster17","Small",2.53655844257153,0.63012494
"cluster18","Small",2.17897694729317,0.57074229
"cluster20","Small",3.09725730969342,0.60103629
"cluster21","Small",1.73239375982297,0.53794649
"cluster22","Small",2.57170883180869,0.61346559
"cluster24","Small",3.01157044359728,0.63201429
"cluster25","Small",2.05690485133647,0.61324639
"cluster29","Small",2.68574173860226,0.73818739
"cluster30","Small",2.12385164096709,0.61981354
"cluster31","Small",1.50514997831991,0.63511714
"cluster32","Small",1.64345267648619,0.68206164
"cluster33","Small",1.49136169383427,0.63404379
"cluster34","Small",1.61278385671974,0.66452829
"cluster35","Small",2.5327543789925,0.57310004
"cluster36","Small",2.77742682238931,0.60860354
"cluster37","Small",2.53019969820308,0.60765999
"cluster38","Small",1.41497334797082,0.67097579
"cluster39","Small",2.4983105537896,0.60375554
"cluster42","Small",1.97772360528885,0.62931729
"cluster43","Small",2.43136376415899,0.62167179
"cluster44","Small",2.10380372095596,0.62830374
"cluster45","Small",1.53147891704226,0.60819129
"cluster46","Small",2.13987908640124,0.59634729
"cluster48","Small",2.27875360095283,0.62420649
"cluster49","Small",1.54406804435028,0.60392274
"cluster51","Small",2.12057393120585,0.58844199
"cluster53","Small",2.13353890837022,0.44003929
"cluster54","Small",2.48572142648158,0.64013869
"cluster55","Small",2.09342168516224,0.56175401
"cluster56","Small",1.83250891270624,0.81383229
"cluster57","Small",1.84509804001426,0.61502424
"cluster58","Small",1.56820172406699,0.60418389
"cluster59","Small",1.5910646070265,0.78261859
"cluster60","Small",1.86923171973098,0.63942449
"cluster61","Small",1.67209785793572,0.63327879
"cluster64","Small",2.0899051114394,0.66452929
"cluster65","Small",1.43136376415899,0.64698504
"cluster66","Small",2.26245108973043,0.62556734
"cluster69","Small",2.04532297878666,0.65353934
"cluster70","Small",1.49136169383427,0.67261384
"cluster71","Small",2.6570558528571,0.73863864
"cluster72","Small",2.27875360095283,0.62387809
"cluster73","Small",1.54406804435028,0.45024309
"cluster78","Small",2.04921802267018,0.66529364
"cluster79","Small",2.10720996964787,0.62749179
"cluster80","Small",1.61278385671974,0.79397004
"cluster81","Small",2.51188336097887,0.63946079
"cluster82","Small",1.6232492903979,0.68411919
"cluster83","Small",1.60205999132796,0.45024309
"cluster84","Small",1.90848501887865,0.56910924
"cluster85","Small",1.43136376415899,0.61189699
"cluster86","Small",1.86923171973098,0.66452909
"cluster87","Small",1.84509804001426,0.66452879
"cluster88","Small",2.8234742291703,0.70420774
"cluster90","Small",1.8750612633917,0.75279379
"cluster91","Small",1.77815125038364,0.61189699
"cluster92","Small",2.27875360095283,0.95198519
"cluster95","Small",1.41497334797082,0.58760574
"cluster97","Small",2.00860017176192,0.58963579
"cluster98","Small",3.10619089726342,0.62167174
"cluster99","Small",1.84509804001426,0.86113001
"cluster100","Small",1.84509804001426,0.63511719
