"","Type","SumCounts","Floss"
"ENSACAT00000001810.3","mRNA",27,0.29824771
"ENSACAT00000015423.3","mRNA",272,0.14571946
"ENSACAT00000025987.2","mRNA",72,0.16534121
"ENSACAT00000004746.3","mRNA",71,0.16240726
"ENSACAT00000014725.3","mRNA",123,0.13673234
"ENSACAT00000016043.3","mRNA",223,0.25405211
"ENSACAT00000008480.3","mRNA",444,0.05265878
"ENSACAT00000017793.3","mRNA",153,0.11864801
"ENSACAT00000001485.3","mRNA",205,0.147565585
"ENSACAT00000005972.3","mRNA",107,0.084229985
"ENSACAT00000016215.2","mRNA",9,0.42282991
"ENSACAT00000011276.3","mRNA",3,0.46266121
"ENSACAT00000004023.3","mRNA",285,0.12709831
"ENSACAT00000013301.2","mRNA",68,0.21254366
"ENSACAT00000017514.3","mRNA",4,0.37298101
"ENSACAT00000017417.3","mRNA",0,0.50000021
"ENSACAT00000017402.3","mRNA",0,0.50000021
"ENSACAT00000017101.3","mRNA",13,0.18897061
"ENSACAT00000016615.3","mRNA",17,0.09356926
"ENSACAT00000027194.2","mRNA",230,0.05472999
"ENSACAT00000001012.3","mRNA",831,0.08276527
"ENSACAT00000012591.3","mRNA",0,0.50000021
"ENSACAT00000013067.3","mRNA",65,0.11433389
"ENSACAT00000015771.3","mRNA",212,0.10526859
"ENSACAT00000026556.1","mRNA",31,0.16841611
"ENSACAT00000002451.3","mRNA",40,0.30279519
"ENSACAT00000014458.3","mRNA",137,0.12989336
"ENSACAT00000015730.3","mRNA",97,0.06049486
"ENSACAT00000015361.3","mRNA",28,0.18871481
"ENSACAT00000024115.2","mRNA",39,0.08981331
"ENSACAT00000003155.3","mRNA",58,0.12123089
"ENSACAT00000009189.3","mRNA",807,0.068043295
"ENSACAT00000012772.3","mRNA",5,0.37362021
"ENSACAT00000012878.3","mRNA",12,0.38953326
"ENSACAT00000029540.1","mRNA",28,0.24837526
"ENSACAT00000009246.3","mRNA",4,0.46266121
"ENSACAT00000015064.2","mRNA",903,0.04617862
"ENSACAT00000013507.3","mRNA",45,0.08616321
"ENSACAT00000009827.3","mRNA",725,0.10109723
"ENSACAT00000010550.3","mRNA",155,0.13021514
"ENSACAT00000011137.3","mRNA",89,0.23016686
"ENSACAT00000006357.3","mRNA",129,0.06913287
"ENSACAT00000003149.3","mRNA",93,0.10723169
"ENSACAT00000000914.3","mRNA",254,0.10547334
"ENSACAT00000029478.1","mRNA",491,0.07814814
"ENSACAT00000006781.2","mRNA",12,0.38883876
"ENSACAT00000008469.3","mRNA",273,0.05032034
"ENSACAT00000014609.3","mRNA",186,0.19727581
"ENSACAT00000000699.3","mRNA",29,0.29775831
"ENSACAT00000003485.3","mRNA",19,0.35739811
"ENSACAT00000003122.3","mRNA",89,0.09112559
"ENSACAT00000004847.3","mRNA",30,0.25202081
"ENSACAT00000010874.3","mRNA",25,0.27805999
"ENSACAT00000010163.3","mRNA",47,0.18183589
"ENSACAT00000009695.3","mRNA",224,0.07101194
"ENSACAT00000027774.2","mRNA",19,0.17725401
"ENSACAT00000004512.3","mRNA",353,0.08205284
"ENSACAT00000001219.3","mRNA",294,0.14272724
"ENSACAT00000015630.3","mRNA",279,0.071575545
"ENSACAT00000016510.3","mRNA",1326,0.14115019
"ENSACAT00000002996.3","mRNA",348,0.08516304
"ENSACAT00000014192.2","mRNA",123,0.16132081
"ENSACAT00000013405.3","mRNA",28,0.20081011
"ENSACAT00000011555.3","mRNA",556,0.10166871
"ENSACAT00000010988.3","mRNA",541,0.07021961
"ENSACAT00000002510.2","mRNA",910,0.111175455
"ENSACAT00000025557.1","mRNA",38,0.34412281
"ENSACAT00000009190.3","mRNA",16,0.21266121
"ENSACAT00000028231.1","mRNA",0,0.50000021
"ENSACAT00000004928.3","mRNA",24,0.12851469
"ENSACAT00000005783.3","mRNA",105,0.12932711
"ENSACAT00000030656.1","mRNA",104,0.12612291
"ENSACAT00000006570.2","mRNA",826,0.05708194
"ENSACAT00000006748.3","mRNA",2,0.70081021
"ENSACAT00000008091.3","mRNA",15,0.16799436
"ENSACAT00000010018.3","mRNA",1,0.76185121
"ENSACAT00000010252.3","mRNA",1495,0.07994073
"ENSACAT00000002132.2","mRNA",50,0.17442881
"ENSACAT00000011069.3","mRNA",25,0.13579241
"ENSACAT00000030017.1","mRNA",282,0.12965196
"ENSACAT00000017395.3","mRNA",190,0.12907728
"ENSACAT00000012243.2","mRNA",347,0.109133055
"ENSACAT00000007927.3","mRNA",508,0.072091655
"ENSACAT00000007265.3","mRNA",612,0.05769739
"ENSACAT00000003385.3","mRNA",10,0.27439621
"ENSACAT00000029499.1","mRNA",35,0.16068206
"ENSACAT00000004881.2","mRNA",35,0.16068206
"ENSACAT00000003681.3","mRNA",28,0.21647741
"ENSACAT00000002282.3","mRNA",119,0.05162627
"ENSACAT00000001054.3","mRNA",4,0.77361881
"ENSACAT00000001148.3","mRNA",48,0.26164926
"ENSACAT00000002732.3","mRNA",20,0.18471601
"ENSACAT00000023975.2","mRNA",261,0.08283704
"ENSACAT00000003229.3","mRNA",261,0.08283704
"ENSACAT00000029545.1","mRNA",1247,0.05812726
"ENSACAT00000008982.3","mRNA",186,0.09216594
"ENSACAT00000001359.3","mRNA",89,0.12751496
"ENSACAT00000005718.3","mRNA",0,0.50000021
"ENSACAT00000030892.1","mRNA",0,0.50000021
"ENSACAT00000001257.3","mRNA",0,0.50000021
"ENSACAT00000007425.3","mRNA",367,0.25461584
"ENSACAT00000007133.2","mRNA",2,0.46266121
"ENSACAT00000014076.3","mRNA",1322,0.06062791
"ENSACAT00000003557.3","mRNA",2017,0.03277175
"ENSACAT00000001650.3","mRNA",63,0.17127886
"ENSACAT00000009589.3","mRNA",164,0.11991141
"ENSACAT00000015774.3","mRNA",181,0.10157034
"ENSACAT00000016000.2","mRNA",14102,0.019417385
"ENSACAT00000016185.3","mRNA",31,0.28329761
"ENSACAT00000016205.3","mRNA",0,0.50000021
"ENSACAT00000011806.2","mRNA",500,0.09901899
"ENSACAT00000011634.3","mRNA",158,0.12224629
"ENSACAT00000011355.3","mRNA",24,0.18872271
"ENSACAT00000011109.3","mRNA",150,0.08213736
"ENSACAT00000010948.3","mRNA",1213,0.05389124
"ENSACAT00000010775.3","mRNA",30,0.32860651
"ENSACAT00000004190.3","mRNA",2,0.70081021
"ENSACAT00000013487.3","mRNA",1493,0.05750757
"ENSACAT00000013711.3","mRNA",608,0.14548179
"ENSACAT00000008732.3","mRNA",21,0.30353866
"ENSACAT00000008759.3","mRNA",451,0.06038794
"ENSACAT00000008864.3","mRNA",41,0.19350319
"ENSACAT00000008869.3","mRNA",51,0.28411166
