"","Type","SumCounts","Floss"
"cluster2","piRNA",112,0.248850525
"cluster3","piRNA",17,0.37874726
"cluster4","piRNA",2070,0.108130655
"cluster5","piRNA",580,0.11970089
"cluster6","piRNA",120,0.220675695
"cluster7","piRNA",374,0.16987614
"cluster8","piRNA",94,0.18448759
"cluster9","piRNA",5,0.55351499
"cluster10","piRNA",566,0.19910285
"cluster11","piRNA",130,0.30298979
"cluster12","piRNA",32,0.17611641
"cluster13","piRNA",67,0.20626566
"cluster14","piRNA",32,0.15432359
"cluster15","piRNA",1,0.81173521
"cluster16","piRNA",183,0.22190599
"cluster17","piRNA",343,0.22429539
"cluster18","piRNA",150,0.09652984
"cluster19","piRNA",18,0.26789721
"cluster20","piRNA",1250,0.03205641
"cluster21","piRNA",53,0.13058036
"cluster22","piRNA",372,0.17286964
"cluster23","piRNA",7,0.66265981
"cluster24","piRNA",1026,0.09743564
"cluster25","piRNA",113,0.26814477
"cluster26","piRNA",18,0.36313181
"cluster27","piRNA",21,0.30536856
"cluster28","piRNA",15,0.25202081
"cluster29","piRNA",484,0.47262844
"cluster30","piRNA",132,0.12521854
"cluster31","piRNA",31,0.22217859
"cluster32","piRNA",43,0.22626201
"cluster33","piRNA",30,0.27900851
"cluster34","piRNA",40,0.29033879
"cluster35","piRNA",340,0.22335224
"cluster36","piRNA",598,0.1862425
"cluster37","piRNA",338,0.24978848
"cluster38","piRNA",25,0.28616381
"cluster39","piRNA",314,0.08866144
"cluster40","piRNA",3,0.57358621
"cluster41","piRNA",7,0.41335381
"cluster42","piRNA",94,0.30793891
"cluster43","piRNA",269,0.087429575
"cluster44","piRNA",126,0.21254751
"cluster45","piRNA",33,0.18395534
"cluster46","piRNA",137,0.09020161
"cluster47","piRNA",14,0.23197089
"cluster48","piRNA",189,0.26020124
"cluster49","piRNA",34,0.29244269
"cluster50","piRNA",15,0.33394001
"cluster51","piRNA",131,0.077402715
"cluster52","piRNA",4,0.53546981
"cluster53","piRNA",135,0.21624845
"cluster54","piRNA",305,0.17030787
"cluster55","piRNA",123,0.11240432
"cluster56","piRNA",67,0.50034959
"cluster57","piRNA",69,0.19460451
"cluster58","piRNA",36,0.11331791
"cluster59","piRNA",38,0.37043811
"cluster60","piRNA",73,0.20711156
"cluster61","piRNA",46,0.15002436
"cluster62","piRNA",18,0.11730981
"cluster63","piRNA",6,0.41335381
"cluster64","piRNA",122,0.35701084
"cluster65","piRNA",26,0.20519781
"cluster66","piRNA",182,0.129199405
"cluster67","piRNA",9,0.24043871
"cluster68","piRNA",18,0.45636441
"cluster69","piRNA",110,0.17701759
"cluster70","piRNA",30,0.26528259
"cluster71","piRNA",453,0.50842304
"cluster72","piRNA",189,0.26020124
"cluster73","piRNA",34,0.33313156
"cluster74","piRNA",18,0.31511659
"cluster75","piRNA",6,0.57362021
"cluster76","piRNA",3,0.57358621
"cluster77","piRNA",6,0.54567551
"cluster78","piRNA",111,0.10432586
"cluster79","piRNA",127,0.14486684
"cluster80","piRNA",40,0.33754381
"cluster81","piRNA",324,0.07471816
"cluster82","piRNA",41,0.23273736
"cluster83","piRNA",39,0.32368346
"cluster84","piRNA",80,0.17479519
"cluster85","piRNA",26,0.11942716
"cluster86","piRNA",73,0.21339171
"cluster87","piRNA",69,0.19784901
"cluster88","piRNA",665,0.16340334
"cluster89","piRNA",0,0.50000021
"cluster90","piRNA",74,0.47016236
"cluster91","piRNA",59,0.28485901
"cluster92","piRNA",189,0.10650234
"cluster93","piRNA",6,0.37087409
"cluster94","piRNA",9,0.58535381
"cluster95","piRNA",25,0.25394001
"cluster96","piRNA",19,0.46233851
"cluster97","piRNA",101,0.24056554
"cluster98","piRNA",1276,0.150125735
"cluster99","piRNA",69,0.14223559
"cluster100","piRNA",69,0.13022766
"cluster101","piRNA",1,0.87281021
